254.5	-0.844446	0.0570502
255.025	-0.632777	0.045659
255.55	-0.474124	0.0306625
256.075	-0.363488	0.0213594
256.6	-0.284566	0.0160562
257.125	-0.226735	0.0107921
257.65	-0.182086	0.00678532
258.175	-0.150424	0.00530282
258.7	-0.124423	0.00387894
259.225	-0.105312	0.00306592
259.75	-0.0890801	0.00196794
260.275	-0.07643	0.00175414
260.8	-0.0656939	0.00131135
261.325	-0.0574652	0.00139929
261.85	-0.0500107	0.000832623
262.375	-0.043945	0.000914462
262.9	-0.0390187	0.000700338
263.425	-0.0346255	0.000555187
263.95	-0.0307517	0.000468249
264.475	-0.0275869	0.000397486
